"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"116","hayatnya",0,0,0,0,0,0,0,0,0,0
"117","mengabdi",0,0,0,0,0,0,0,0,0,0
"118","sang",0,0,0,0,0,0,0,0,0,0
"119","gunung",0,0,0,0,0,0,0,0,0,0
"120","almarhum",0,0,0,0,0,0,0,0,0,0
"121","ditemukan",0,0,0,0,0,0,0,0,0,0
"122","kejadian",0,0,0,0,0,0,0,0,0,0
"123","letusan",0,0,0,0,0,0,0,0,0,0
"124","mengguncang",0,0,0,0,0,0,0,0,0,0
"125","yogyakarta",0,0,0,0,0,0,0,0,0,0
"126","dimana",0,0,0,0,0,0,0,0,0,0
"127","abunya",0,0,0,0,0,0,0,0,0,0
"128","mengguyur",0,0,0,0,0,0,0,0,0,0
"129","kota",0,0,0,0,0,0,0,0,0,0
"130","ngayugyokarto",0,0,0,0,0,0,0,0,0,0
"131","hadiningrat",0,0,0,0,0,0,0,0,0,0
"132","kondisi",0,0,0,0,0,0,0,0,0,0
"133","ybs",0,0,0,0,0,0,0,0,0,0
"134","ditemukan",0,0,0,0,0,0,0,0,0,0
"135","posisi",0,0,0,0,0,0,0,0,0,0
"136","bersujud",0,0,0,0,0,0,0,0,0,0
"137","semoga",0,0,0,0,0,0,0,0,0,0
"138","almarhum",0,0,0,0,0,0,0,0,0,0
"139","husnul",0,0,0,0,0,0,0,0,0,0
"140","khatimah",0,0,0,0,0,0,0,0,0,0
"141","berwisata",0,0,0,0,0,0,0,0,0,0
"142","gunung",0,0,0,0,0,0,0,0,0,0
"143","merapi",0,0,0,0,0,0,0,0,0,0
"144","sekeluarga",0,0,0,0,0,0,0,0,0,0
"145","berpetualang",0,0,0,0,0,0,0,0,0,0
"146","mobil",0,0,0,0,0,0,0,0,0,0
"147","jiep",0,0,0,0,0,0,0,0,0,0
"148","off",0,0,0,0,0,0,0,0,0,0
"149","road",0,0,0,0,0,0,0,0,0,0
"150","wisata",0,0,0,0,0,0,0,0,0,0
"151","memilih",0,0,0,0,0,0,0,0,0,0
"152","paket",0,0,0,0,0,0,0,0,0,0
"153","mengambil",0,0,0,0,0,0,0,0,0,0
"154","paket",0,0,0,0,0,0,0,0,0,0
"155","shot",1,0,0,1,0,1,1,0,1,0
"156","trip",0,0,0,0,0,0,1,0,0,0
"157","biaya",0,0,0,0,0,0,0,0,0,0
"158","rp",0,0,0,0,0,0,0,0,0,0
"159","ribu",0,0,0,0,0,0,0,0,0,0
"160","obyek",0,0,0,0,0,0,0,0,0,0
"161","yg",0,0,0,0,0,0,0,0,0,0
"162","dikunjungi",0,0,0,0,0,0,0,0,0,0
"163","kediaman",0,0,0,0,0,0,0,0,0,0
"164","mbah",0,0,0,0,0,0,0,0,0,0
"165","marijan",0,0,0,0,0,0,0,0,0,0
"166","batu",0,0,0,0,0,0,0,0,0,0
"167","alien",0,0,1,1,0,0,0,0,1,0
"168","mengunjungi",0,0,0,0,0,0,0,0,0,0
"169","museum",0,0,0,0,0,0,0,0,0,0
"170","yg",0,0,0,0,0,0,0,0,0,0
"171","menyimpan",0,0,0,0,0,0,0,0,0,0
"172","memorabilia",0,0,0,0,0,0,0,0,0,0
"173","sisasisa",0,0,0,0,0,0,0,0,0,0
"174","benda",0,0,0,0,0,0,0,0,0,0
"175","hangus",0,0,0,0,0,0,0,0,0,0
"176","akibat",0,0,0,0,0,0,0,0,0,0
"177","wedus",0,0,0,0,0,0,0,0,0,0
"178","gembel",0,0,0,0,0,0,0,0,0,0
"179","sebutan",0,0,0,0,0,0,0,0,0,0
"180","awan",0,0,0,0,0,0,0,0,0,0
"181","panas",0,0,0,0,0,0,0,0,0,0
"182","gunung",0,0,0,0,0,0,0,0,0,0
"183","merapi",0,0,0,0,0,0,0,0,0,0
